상세페이지URL,로고URL,상호명,별점,최소주문금액,소요시간,리뷰수
https://www.yogiyo.co.kr/mobile/#/299526/,https://www.yogiyo.co.kr/media/restaurant_logos/셰플리_20200117_Franchise이미지약정서_crop_200x200_DAxQBcK.png,셰플리-셰프의건강한한끼(마포),★ 4.5,"8,000원 이상 배달",55~65분,5275
https://www.yogiyo.co.kr/mobile/#/387231/,https://www.yogiyo.co.kr/media/franchise_logos/BHC_20191014_Franchise_crop_200x200_hY0tGRI.jpg,BHC-신촌점,★ 4.5,"15,000원 이상 배달",85~95분,3189
https://www.yogiyo.co.kr/mobile/#/234960/,https://www.yogiyo.co.kr/media/franchise_logos/롯데리아_20160408_Franchise이미지약정서_crop_200x200.jpg,롯데리아-신촌로터리점,★ 4.5,"11,000원 이상 배달",55~65분,2965
https://www.yogiyo.co.kr/mobile/#/261418/,https://www.yogiyo.co.kr/media/franchise_logos/KFC_20181218_Franchise이미지약정서_crop_200x200.jpg,KFC-홍익대점,★ 4.3,"16,000원 이상 배달",40~50분,2599
https://www.yogiyo.co.kr/mobile/#/236718/,https://www.yogiyo.co.kr/media/franchise_logos/교촌치킨_20160614_Franchise이미지약정서_crop_200x200.jpg,교촌치킨-홍대점,★ 4.6,"15,000원 이상 배달",45~55분,2447
https://www.yogiyo.co.kr/mobile/#/228230/,https://www.yogiyo.co.kr/media/franchise_logos/BHC_20191014_Franchise_crop_200x200_hY0tGRI.jpg,BHC-홍대초교점,★ 4.6,"15,000원 이상 배달",35~45분,2386
https://www.yogiyo.co.kr/mobile/#/230513/,https://www.yogiyo.co.kr/media/restaurant_logos/범벅치킨_20151211_Franchise_crop_200x200.jpeg,범벅치킨-신촌점,★ 4.7,"15,000원 이상 배달",40~50분,2326
https://www.yogiyo.co.kr/mobile/#/243560/,https://www.yogiyo.co.kr/media/franchise_logos/롯데리아_20160408_Franchise이미지약정서_crop_200x200.jpg,롯데리아-망원점,★ 4.8,"11,000원 이상 배달",45~55분,2222
https://www.yogiyo.co.kr/mobile/#/26338/,https://www.yogiyo.co.kr/media/restaurant_logos/불닭발02_20120524_FoodAD_crop_200x200_135.jpg,신미불닭발-서울본점,★ 4.6,"19,000원 이상 배달",45~55분,1931
https://www.yogiyo.co.kr/mobile/#/9598/,https://www.yogiyo.co.kr/media/franchise_logos/또래오래_20151126_Franchise이미지약정서_crop_200x200_89SjZAD.jpg,또래오래-마포망원점,★ 4.8,"15,000원 이상 배달",45~55분,1873
https://www.yogiyo.co.kr/mobile/#/305354/,https://www.yogiyo.co.kr/media/franchise_logos/후라이드참잘하는집_20170329_Franchise이미지약정서_crop_200x200.JPG,후라이드참잘하는집-서강대점,★ 4.7,"14,000원 이상 배달",30~40분,1556
https://www.yogiyo.co.kr/mobile/#/264101/,https://www.yogiyo.co.kr/media/franchise_logos/굽네치킨_20151119_Franchise이미지약정서_crop_200x200.JPG,굽네치킨&피자-서강점,★ 4.6,"10,000원 이상 배달",50~60분,1352
https://www.yogiyo.co.kr/mobile/#/27409/,https://www.yogiyo.co.kr/media/franchise_logos/맥시칸치킨_20180326_Franchise이미지약정서_crop_200x200.jpg,맥시칸치킨-서강점,★ 4.7,"14,000원 이상 배달",50~60분,1306
https://www.yogiyo.co.kr/mobile/#/174592/,https://www.yogiyo.co.kr/media/franchise_logos/네네치킨_20180831_Franchise이미지약정서_crop_200x200.jpg,네네치킨-서교점,★ 4.3,"15,000원 이상 배달",40~50분,1180
https://www.yogiyo.co.kr/mobile/#/271670/,https://www.yogiyo.co.kr/media/franchise_logos/디디치킨_20160615_Franchise이미지약정서_crop_200x200.JPG,3가지맛디디치킨-연세대점,★ 4.7,"14,000원 이상 배달",35~45분,1150
https://www.yogiyo.co.kr/mobile/#/271879/,https://www.yogiyo.co.kr/media/franchise_logos/디디치킨_20160615_Franchise이미지약정서_crop_200x200.JPG,3가지맛디디치킨-서강대점,★ 4.6,"15,000원 이상 배달",45~55분,1031
https://www.yogiyo.co.kr/mobile/#/231799/,https://www.yogiyo.co.kr/media/restaurant_logos/두마리치킨순살01_20131128_FoodAD_crop_200x200_gtZpcgH.jpg,치킨트리플,★ 3.5,"14,000원 이상 배달",50~60분,1031
https://www.yogiyo.co.kr/mobile/#/52927/,https://www.yogiyo.co.kr/media/franchise_logos/굽네치킨_20151119_Franchise이미지약정서_crop_200x200.JPG,굽네치킨&피자-신수점,★ 4.7,"14,000원 이상 배달",50~60분,930
https://www.yogiyo.co.kr/mobile/#/237806/,https://www.yogiyo.co.kr/media/franchise_logos/피자나라치킨공주__20171102_Franchise이미지약정서_crop_200x200.jpg,피자나라치킨공주-신촌점,★ 4.5,"14,000원 이상 배달",40~50분,913
https://www.yogiyo.co.kr/mobile/#/282624/,https://www.yogiyo.co.kr/media/franchise_logos/굽네치킨_20151119_Franchise이미지약정서_crop_200x200.JPG,굽네치킨&피자-북아현점,★ 4.7,"17,000원 이상 배달",40~50분,888
https://www.yogiyo.co.kr/mobile/#/266230/,https://www.yogiyo.co.kr/media/franchise_logos/지코바치킨_20190725_Franchise_crop_200x200.jpg,지코바치킨-서울성산1호점,★ 4.7,"17,000원 이상 배달",55~65분,883
https://www.yogiyo.co.kr/mobile/#/59857/,https://www.yogiyo.co.kr/media/restaurant_logos/피자오래-성산점_20171220_가맹로고이미지약정서_crop_200x200.jpg,피자오래-성산점,★ 4.8,"16,900원 이상 배달",45~55분,868
https://www.yogiyo.co.kr/mobile/#/287458/,https://www.yogiyo.co.kr/media/franchise_logos/굽네치킨_20151119_Franchise이미지약정서_crop_200x200.JPG,굽네치킨&피자-연남점,★ 4.8,"13,000원 이상 배달",40~50분,842
https://www.yogiyo.co.kr/mobile/#/366742/,https://www.yogiyo.co.kr/media/franchise_logos/처갓집치킨_20151228_Franchise이미지약정서_crop_200x200_ZaH9UvS.jpg,처갓집양념치킨-상암점,★ 4.7,"14,000원 이상 배달",45~55분,808
https://www.yogiyo.co.kr/mobile/#/42996/,https://www.yogiyo.co.kr/media/franchise_logos/페리카나_20190430_Franchise_crop_200x200.png,페리카나-합정점,★ 4.7,"14,000원 이상 배달",30~40분,801
https://www.yogiyo.co.kr/mobile/#/269064/,https://www.yogiyo.co.kr/media/restaurant_logos/닭꾸버-서울1호신촌점_20180308_가맹로고이미지약정서_crop_200x200.jpg,닭꾸버-서울1호신촌점,★ 4.8,"16,000원 이상 배달",50~60분,746
https://www.yogiyo.co.kr/mobile/#/265036/,https://www.yogiyo.co.kr/media/franchise_logos/컬투치킨_20180309_Franchise이미지약정서_crop_200x200.jpg,컬투치킨-창전사랑점,★ 4.8,"10,000원 이상 배달",45~55분,742
https://www.yogiyo.co.kr/mobile/#/317517/,https://www.yogiyo.co.kr/media/franchise_logos/걸작떡볶이_20180209_Franchise이미지약정서_crop_200x200.jpg,걸작떡볶이치킨-서울합정점,★ 4.8,"16,000원 이상 배달",50~60분,689
https://www.yogiyo.co.kr/mobile/#/341351/,https://www.yogiyo.co.kr/media/franchise_logos/치킨플러스_20190528_Franchise_crop_200x200.png,치킨플러스-신수점,★ 4.9,"13,900원 이상 배달",45~55분,649
https://www.yogiyo.co.kr/mobile/#/332029/,https://www.yogiyo.co.kr/media/franchise_logos/BHC_20191014_Franchise_crop_200x200_hY0tGRI.jpg,BHC-신수서강대점,★ 4.8,"15,000원 이상 배달",45~55분,638
https://www.yogiyo.co.kr/mobile/#/233371/,https://www.yogiyo.co.kr/media/franchise_logos/호식이두마리치킨_20180212_Franchise이미지약정서_crop_200x200.PNG,호식이두마리치킨-신촌점,★ 4.6,"15,000원 이상 배달",55~65분,623
